"keyword","ngram","freq","rake","key"
"loading dose",2,8,2.34285714285714,"loading dose"
"increase dose",2,6,2.34285714285714,"increase dose"
"lockout interval",2,6,2.25,"lockout interval"
"serum magnesium",2,3,2.2,"serum magnesium"
"hypertension hold",2,2,2.08333333333333,"hypertension hold"
"blood glucose",2,176,2.01123595505618,"blood glucose"
"assessment parameter",2,6,2,"assessment parameter"
"clinician bolus",2,2,2,"clinician bolus"
"call ho",2,2,2,"call ho"
"drop eye",2,3,2,"drop eye"
"lortab elixir",2,6,2,"lortab elixir"
"have form",2,4,2,"have form"
"j tube",2,2,2,"j tube"
"lab parameter",2,2,2,"lab parameter"
"packet powder",2,4,2,"packet powder"
"sedation score",2,6,2,"sedation score"
"pulse ox",2,6,1.85714285714286,"pulse ox"
"pacu protocol",2,78,1.84755682591534,"pacu protocol"
"contact physician",2,14,1.7,"contact physician"
"po tonight",2,3,1.61111111111111,"po tonight"
"tylenol #",2,5,1.55128205128205,"tylenol #"
"mg albuterol",2,4,1.53266331658291,"mg albuterol"
"mg capsule",2,36,1.53266331658291,"mg capsule"
"mg syrup",2,2,1.53266331658291,"mg syrup"
"mg solution",2,9,1.53266331658291,"mg solution"
"mg suspension",2,3,1.53266331658291,"mg suspension"
"prn",1,2,1.5,"prn"
"pain maximum",2,81,1.39389567147614,"pain maximum"
"dose",1,4,1.34285714285714,"dose"
"novolin r",2,2,1.33333333333333,"novolin r"
"tablet po",2,2,1.31514698555057,"tablet po"
"mg iv",2,9,1.30189408581368,"mg iv"
"use diphenhydramine",2,4,1.26086956521739,"use diphenhydramine"
"mg tablet",2,139,1.23669919102238,"mg tablet"
"ml solution",2,6,1.19117647058824,"ml solution"
"ml suspension",2,3,1.19117647058824,"ml suspension"
"mg po",2,4,1.14377442769403,"mg po"
"hr iv",2,7,1.11298076923077,"hr iv"
"hour limit",2,8,1.10661764705882,"hour limit"
"mcg ipratropium",2,4,1.06779661016949,"mcg ipratropium"
"anxiety",1,2,1,"anxiety"
"interval",1,2,1,"interval"
"maximum",1,2,0.988235294117647,"maximum"
"g iv",2,3,0.892037786774629,"g iv"
"protocol",1,14,0.860215053763441,"protocol"
"microgram tablet",2,8,0.83260730301089,"microgram tablet"
"iv",1,6,0.769230769230769,"iv"
"tablet",1,66,0.704035874439462,"tablet"
"tablet tablet",1,4,0.704035874439462,"tablet tablet"
"physician",1,6,0.7,"physician"
